id_transacao,data,cliente,categoria,valor,metodo_pagamento,status
1001,2025-04-28 17:44:50.981963,Cliente B,Consultoria,1589.57,Cheque,Pago
1002,2026-05-18 02:58:55.070140,Cliente C,CONSULTORIA,5048.72,Multibanco,Pago
1003,2026-02-06 16:47:08.056112,Cliente B,Salários,1178.78,Cheque,Atrasado
1004,2025-11-08 15:55:11.422845,Cliente B,Vendas,11311.03,Multibanco,Pago
1005,2025-05-03 08:33:40.040080,Cliente B,Salários,4120.91,Cartão,Pago
1006,2025-03-23 22:56:30.781563,Cliente A,Salários,,Cartão,Pago
1007,2025-08-06 00:14:25.731462,Cliente A,Salários,7922.35,Cartão,Pago
1008,2025-01-24 02:04:05.290581,Cliente A,Consultoria,12021.21,Transferência,Pendente
1009,2025-04-28 17:44:50.981963,Cliente C,Impostos,14685.02,Cheque,Pago
1010,2025-05-20 16:06:44.008016,Cliente F,Aluguel,12604.84,Cartão,Pago
1011,2026-06-22 21:47:15.270541,Cliente E,Aluguel,13011.56,Transferência,Pago
1012,2025-09-05 00:31:44.609218,Cliente B,Vendas,6149.37,Cheque,Pago
1013,2026-01-16 22:07:27.294589,Cliente B,Consultoria,8298.25,Multibanco,Pendente
1014,2026-06-13 16:09:37.154308,Cliente C,Consultoria,3845.63,Transferência,Atrasado
1015,2025-04-11 10:11:47.014028,Cliente B,Consultoria,2981.89,Numerário,Cancelado
1016,2026-03-06 09:40:02.404809,Cliente A,Fornecedores,7607.34,Transferência,Pendente
1017,2025-04-25 06:38:14.188376,Cliente E,Serviços,8945.98,Transferência,Pago
1018,2026-02-19 09:31:22.965931,Cliente D,Fornecedores,5122.11,Cheque,Pendente
1019,2025-06-24 07:12:51.943887,Cliente B,Serviços,8563.18,Multibanco,Pago
1020,2025-05-31 01:26:34.388777,Cliente A,Consultoria,13317.53,Numerário,Pago
1021,2025-06-21 23:48:27.414829,Cliente D,Consultoria,8372.99,Cartão,Atrasado
1022,2025-12-22 12:38:57.474949,Cliente E,Fornecedores,10826.16,Cartão,Pago
1023,2025-10-24 15:46:31.983967,Cliente D,Fornecedores,12089.46,Transferência,Atrasado
1024,2026-01-31 22:16:06.733466,Cliente A,Serviços,14831.5,Cheque,Pago
1025,2026-07-21 18:22:21.883767,Cliente F,Aluguel,9067.8,Cheque,Pendente
1026,2026-04-22 17:30:25.250501,Cliente F,Serviços,12112.41,Cartão,Pendente
1027,2025-12-05 05:05:53.507014,Cliente D,Fornecedores,14441.61,Numerário,Atrasado
1028,2026-03-21 09:48:41.843687,Cliente C,Impostos,14168.93,Multibanco,Pendente
1029,2025-08-09 11:21:02.525050,Cliente D,Fornecedores,2159.17,Numerário,Pendente
1030,2026-05-27 08:36:33.186372,Cliente B,Impostos,6125.57,Multibanco,Pago
1031,2025-11-15 14:08:25.010020,Cliente B,Vendas,4893.65,Cartão,Pago
1032,2025-07-04 16:32:42.324649,Cliente F,Fornecedores,1349.53,,Pago
1033,2026-06-14 19:51:49.418837,Cliente C,Vendas,,Cheque,Pendente
1034,2025-12-28 07:09:58.797595,Cliente A,Aluguel,11051.77,Transferência,Pago
1035,2025-01-25 05:46:17.555110,Cliente B,Serviços,12729.52,Transferência,Pendente
1036,2025-10-18 21:15:30.661322,Cliente F,Impostos,1885.51,Cartão,Pago
1037,2025-09-29 06:18:02.164328,Cliente E,Serviços,13152.84,Cheque,Pago
1038,2026-02-02 01:58:18.997995,Cliente F,Vendas,9661.74,Numerário,Pendente
1039,2025-02-25 09:45:48.697394,Cliente B,Impostos,10573.99,Cheque,Pago
1040,2026-07-02 03:24:53.386773,Cliente B,Serviços,13663.83,Transferência,Pago
1041,2025-03-08 22:47:51.342685,Cliente F,Fornecedores,9390.18,Transferência,Pago
1042,2025-07-15 01:52:32.705410,Cliente A,Consultoria,5071.19,,Cancelado
1043,2026-07-03 07:07:05.651302,Cliente D,Vendas,12385.35,Cheque,Pendente
1044,2025-08-04 20:32:13.466933,Cliente B,Serviços,5477.74,Transferência,Pago
1045,2026-06-19 10:40:38.476953,Cliente F,Vendas,561.71,Numerário,Pago
1046,2025-11-08 15:55:11.422845,Cliente F,Salários,12468.28,Cartão,Pago
1047,2025-08-07 03:56:37.995991,Cliente C,Vendas,5210.62,Cartão,Pendente
1048,2026-05-29 16:00:57.715430,Cliente D,Impostos,11618.83,Cheque,Pendente
1049,2025-07-20 20:23:34.028056,Cliente E,Salários,5473.23,Cartão,Pago
1050,2026-05-29 16:00:57.715430,Cliente A,Impostos,12922.97,Transferência,Pago
1051,2025-02-27 17:10:13.226452,Cliente E,Consultoria,3331.68,Transferência,Pago
